Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,3.84025e-06,
Filter Frequency,290000,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,2,
Label,,
TIME,CH1,CH1 Peak Detect
5.1644e-05,0.16,6.8
5.5484e-05,5.28,5.2
5.9324e-05,7.36,7.44
6.3164e-05,6.56,5.84
6.7005e-05,6,6.64
7.0845e-05,6,5.76
7.4685e-05,6.08,6.16
7.8525e-05,5.84,5.68
8.2366e-05,5.92,6
8.6206e-05,5.76,5.36
9.0046e-05,5.6,5.84
9.3886e-05,5.44,5.2
9.7727e-05,5.28,5.52
1.0157e-04,5.44,5.12
1.0541e-04,5.36,5.52
1.0925e-04,5.2,4.8
1.1309e-04,5.04,5.28
1.1693e-04,4.88,4.8
1.2077e-04,4.96,5.04
1.2461e-04,4.88,4.64
1.2845e-04,4.72,4.88
1.3229e-04,4.8,4.56
1.3613e-04,4.72,4.88
1.3997e-04,4.64,4.24
1.4381e-04,4.32,4.72
1.4765e-04,4.32,4.24
1.5149e-04,4.48,4.72
1.5533e-04,4.56,4.4
1.5917e-04,4.48,4.72
1.6301e-04,4.56,4.4
1.6685e-04,4.64,4.8
1.7069e-04,4.56,4.32
1.7453e-04,4.48,4.64
1.7837e-04,4.48,4.16
1.8221e-04,4.32,4.56
1.8605e-04,4.4,3.84
1.8989e-04,4.16,4.48
1.9373e-04,3.92,3.68
1.9757e-04,3.84,4.08
2.0141e-04,4,4
2.0525e-04,4.24,4.4
2.0909e-04,4.16,3.84
2.1293e-04,3.92,4.24
2.1677e-04,4,3.6
2.2061e-04,3.84,4.08
2.2445e-04,3.68,3.6
2.2829e-04,3.76,3.84
2.3214e-04,3.76,3.52
2.3598e-04,3.68,3.84
2.3982e-04,3.68,3.52
2.4366e-04,3.68,3.84
2.4750e-04,3.68,3.52
2.5134e-04,3.6,3.84
2.5518e-04,3.76,3.28
2.5902e-04,3.68,3.84
2.6286e-04,3.36,2.72
2.6670e-04,3.04,3.44
2.7054e-04,2.8,2.72
2.7438e-04,2.88,3.2
2.7822e-04,3.12,2.8
2.8206e-04,3.04,3.2
2.8590e-04,2.96,2.64
2.8974e-04,2.96,3.12
2.9358e-04,2.72,2.64
2.9742e-04,2.88,3.2
3.0126e-04,3.12,2.88
3.0510e-04,3.12,3.28
3.0894e-04,3.04,2.8
3.1278e-04,2.96,3.12
3.1662e-04,2.88,2.72
3.2046e-04,2.8,3.04
3.2430e-04,2.96,2.56
3.2814e-04,2.72,3.04
3.3198e-04,2.8,2.32
3.3582e-04,2.88,2.96
3.3966e-04,2.4,2
3.4350e-04,2.08,2.48
3.4734e-04,2.32,2.24
3.5118e-04,2.4,2.64
3.5502e-04,2.56,2.32
3.5886e-04,2.48,2.64
3.6270e-04,2.4,1.92
3.6654e-04,2.08,2.48
3.7038e-04,2,1.92
3.7422e-04,2,2.32
3.7806e-04,2.16,2.08
3.8190e-04,2.4,2.48
3.8575e-04,2.24,1.92
3.8959e-04,2.08,2.24
3.9343e-04,2.16,1.84
3.9727e-04,2.24,2.4
4.0111e-04,1.92,1.52
4.0495e-04,1.84,2.08
4.0879e-04,1.6,1.52
4.1263e-04,1.68,2
4.1647e-04,1.92,1.6
4.2031e-04,1.68,2
4.2415e-04,1.76,1.04
4.2799e-04,1.52,1.84
4.3183e-04,1.12,1.04
4.3567e-04,1.28,1.52
4.3951e-04,1.36,1.2
4.4335e-04,1.36,1.44
4.4719e-04,1.36,1.2
4.5103e-04,1.28,1.52
4.5487e-04,1.36,1.28
4.5871e-04,1.44,1.52
4.6255e-04,1.44,1.2
4.6639e-04,1.44,1.52
4.7023e-04,1.2,0.64
4.7407e-04,0.72,1.28
4.7791e-04,0.8,0.72
4.8175e-04,1.04,1.28
4.8559e-04,1.12,0.8
4.8943e-04,0.88,1.2
4.9327e-04,0.88,0.64
4.9711e-04,0.88,0.96
5.0095e-04,0.72,0.4
5.0479e-04,0.56,0.8
5.0863e-04,0.56,0.48
5.1247e-04,0.72,0.88
5.1631e-04,0.56,0.32
5.2015e-04,0.56,0.64
5.2399e-04,0.48,0.32
5.2783e-04,0.48,0.64
